age,expected_years_remaining
0,83.20
1,82.34
2,81.36
3,80.37
4,79.37
5,78.37
6,77.38
7,76.38
8,75.39
9,74.39
10,73.39
11,72.40
12,71.40
13,70.41
14,69.42
15,68.43
16,67.44
17,66.46
18,65.48
19,64.51
20,63.52
21,62.55
22,61.57
23,60.59
24,59.61
25,58.63
26,57.66
27,56.69
28,55.71
29,54.73
30,53.76
31,52.78
32,51.80
33,50.83
34,49.85
35,48.88
36,47.91
37,46.93
38,45.96
39,45.00
40,44.03
41,43.06
42,42.10
43,41.14
44,40.18
45,39.21
46,38.25
47,37.30
48,36.35
49,35.41
50,34.47
51,33.53
52,32.59
53,31.66
54,30.73
55,29.80
56,28.88
57,27.98
58,27.08
59,26.17
60,25.27
61,24.39
62,23.51
63,22.64
64,21.78
65,20.93
66,20.08
67,19.25
68,18.44
69,17.63
70,16.83
71,16.04
72,15.27
73,14.51
74,13.77
75,13.05
76,12.33
77,11.62
78,10.93
79,10.26
80,9.61
81,8.99
82,8.37
83,7.80
84,7.25
85,6.73
86,6.25
87,5.75
88,5.29
89,4.87
90,4.51
91,4.16
92,3.82
93,3.52
94,3.24
95,3.01
96,2.77
97,2.55
98,2.41
99,2.27
