age,population
0,9461000
1,9461000
2,9461000
3,9461000
4,9461000
5,9175250
6,9175250
7,9175250
8,9175250
9,9175250
10,9646250
11,9646250
12,9646250
13,9646250
14,9646250
15,11413250
16,11413250
17,11413250
18,11413250
19,11413250
20,12924500
21,12924500
22,12924500
23,12924500
24,12924500
25,13022750
26,13022750
27,13022750
28,13022750
29,13022750
30,13034000
31,13034000
32,13034000
33,13034000
34,13034000
35,13230500
36,13230500
37,13230500
38,13230500
39,13230500
40,13549500
41,13549500
42,13549500
43,13549500
44,13549500
45,13721500
46,13721500
47,13721500
48,13721500
49,13721500
50,12962750
51,12962750
52,12962750
53,12962750
54,12962750
55,11730000
56,11730000
57,11730000
58,11730000
59,11730000
60,9562500
61,9562500
62,9562500
63,9562500
64,9562500
65,8338000
66,8338000
67,8338000
68,8338000
69,8338000
70,7878750
71,7878750
72,7878750
73,7878750
74,7878750
75,6007750
76,6007750
77,6007750
78,6007750
79,6007750
80,4326250
81,4326250
82,4326250
83,4326250
84,4326250
85,1983000
86,1983000
87,1983000
88,1983000
89,1983000
90,687000
91,687000
92,687000
93,687000
94,687000
95,211750
96,211750
97,211750
98,211750
99,211750
100,26000
101,26000
102,26000
103,26000
104,26000
