Week,Total,Ouest,Sud-Est,Nord,Nord-Est,Artibonite,Centre,Sud,Grande Anse,Nord-Ouest,Nippes,Date
EW43,6253,,,,18,4930,,,,,,10/28/2010
EW44,9560,,,1081,,7792,687,,,,,11/7/2010
EW45,19677,,,4617,,13517,,,,1543,,11/14/2010
EW46,,,,,,,,,,,,11/21/2010
EW47,77208,,,,,39120,7007,,,7648,,11/28/2010
EW48,93222,,,,,43572,9960,,,9996,,12/5/2010
EW49,107656,,,14048,,46117,10029,,,11539,,12/12/2010
EW50,128251,,,18174,,48661,11472,,,12747,,12/19/2010
EW51,147392,,,21366,,51078,,,,13424,,12/26/2010
EW52,171304,,,,,,,,,,,1/2/2011
EW1,183906,,,,,,,,,,,1/9/2011
EW2,193279,,,,,,,,,,,1/16/2011
EW3,206940,,,,,,,,,,,1/23/2011
EW4,215076,,,,,,,,,,,1/30/2011
EW5,226527,,,,,,,,,,,2/6/2011
EW6,231650,,,,,,,,,,,2/13/2011
EW7,241896,,,,,,,,,,,2/20/2011
EW8,249530,,,,,,,,,,,2/27/2011
