governorate,id,pcode,longitude,latitude,A0,I0,R0,B0,N0,mu,beta,kappa,gamma,alpha,p,W,muB,l,ctc_locs,ctu_locs,orp_locs,personnel,nu0,beta0,phi0,theta0
Abyan,yem_adm1_polygon.1,12,46.16393,13.71262,0,1068,0,0,570000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,18,53,346,0,1,0,0
Al Dhale'e,yem_adm1_polygon.2,30,44.75863,13.89875,0,1401,0,0,710000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,22,67,401,0,1,0,0
Aden,yem_adm1_polygon.3,24,45.018654,12.785497,0,489,0,0,890000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,27,85,471,0,1,0,0
Al Bayda,yem_adm1_polygon.4,14,45.56453,14.01392,0,1498,0,0,750000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,23,71,417,0,1,0,0
Al Hudaydah,yem_adm1_polygon.5,18,42.97132,14.78905,0,1397,0,0,3200000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,97,317,1372,0,1,0,0
Al Jawf,yem_adm1_polygon.6,16,45.59978,16.622,0,189,0,0,570000,0,1,1000000,0.2,0.1,10,1,0.03,1,2,11,32,148,0,1,0,0
Al Maharah,yem_adm1_polygon.7,28,51.5791,16.72696,0,0,0,0,140000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,5,10,179,0,1,0,0
Al Mahwit,yem_adm1_polygon.8,27,43.52245,15.45797,0,2486,0,0,720000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,22,68,405,0,1,0,0
Amran,yem_adm1_polygon.9,29,43.946018,15.66155,0,3743,0,0,1100000,0,1,1000000,0.2,0.1,10,1,0.03,1,9,39,121,652,0,1,0,0
Dhamar,yem_adm1_polygon.10,20,44.385159,14.54696,0,1617,0,0,1900000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,58,187,865,0,1,0,0
Hajjah,yem_adm1_polygon.11,17,43.6063,15.63287,0,4664,0,0,2100000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,64,207,943,0,1,0,0
Ibb,yem_adm1_polygon.12,11,44.17144,13.96988,0,1378,0,0,2900000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,88,287,1255,0,1,0,0
Lahj,yem_adm1_polygon.13,25,44.5531,13.18017,0,168,0,0,990000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,30,95,510,0,1,0,0
Marib,yem_adm1_polygon.14,26,45.346489,15.46016,0,2,0,0,340000,0,1,1000000,0.2,0.1,10,1,0.03,1,12,13,49,362,0,1,0,0
Sa'ada,yem_adm1_polygon.15,22,44.079609,15.70566,0,0,0,0,850000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,16,69,329,0,1,0,0
Sana'a,yem_adm1_polygon.16,23,44.191006,15.369445,0,3815,0,0,1200000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,37,116,592,0,1,0,0
Shabwah,yem_adm1_polygon.17,21,47.026169,14.6609,0,0,0,0,630000,0,1,1000000,0.2,0.1,10,1,0.03,1,15,29,59,491,0,1,0,0
Taizz,yem_adm1_polygon.18,15,44.0107,13.58391,0,1791,0,0,2800000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,85,277,1216,0,1,0,0
Amanat Al Asimah,yem_adm1_polygon.19,13,44.24003,15.47707,0,9216,0,0,2900000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,88,287,1255,0,1,0,0
Raymah,yem_adm1_polygon.20,31,43.67056,14.66037,0,549,0,0,600000,0,1,1000000,0.2,0.1,10,1,0.03,1,10,19,56,358,0,1,0,0
